"symbol","date","adjusted","sma_50","buy_or_sell","shares_owned","invested","savings_account_balance","profit"
"SPY",2003-12-31,80.356552,76.7137268600002,0,1968.92803003083,149078.921929984,0,0
"SPY",2004-01-30,81.945221,79.2933906800002,0,1981.13130421567,150078.921929984,0,0
"SPY",2004-02-27,83.057259,81.7120342400001,0,1993.17119106048,151078.921929984,0,0
"SPY",2004-03-31,81.9571,82.2315536000001,1,0,0,164354.530622863,12275.6086928786
"SPY",2004-04-30,80.406372,82.0673133800001,1,0,0,165354.530622863,0
"SPY",2004-05-28,81.783211,81.1992830400001,0,2034.09145457572,166354.530622863,0,0
"SPY",2004-06-30,83.296318,81.5306369200001,0,2046.09678715236,167354.530622863,0,0
"SPY",2004-07-30,80.61261,81.4541960000001,1,0,0,165941.202324966,-2413.32829789637
"SPY",2004-08-31,80.80896,80.5320309200001,0,2065.87490205253,166941.202324966,0,0
"SPY",2004-09-30,81.620064,80.5752984600001,0,2078.12679148991,167941.202324966,0,0
"SPY",2004-10-29,82.671715,81.6718461800001,0,2090.22282699613,168941.202324966,0,0
"SPY",2004-11-30,86.352074,83.48532212,0,2101.80332476159,169941.202324966,0,0
"SPY",2004-12-31,88.953049,86.2340823400001,0,2113.04521035451,170941.202324966,0,0
"SPY",2005-01-31,86.958679,87.3731386400002,1,0,0,184747.620159706,12806.4178347393
"SPY",2005-02-28,88.776421,87.8559461800002,0,2092.30804832407,185747.620159706,0,0
"SPY",2005-03-31,87.152466,87.9195652800001,1,0,0,183349.80604309,-3397.81411661609
"SPY",2005-04-29,85.519661,87.3080845400001,1,0,0,184349.80604309,0
"SPY",2005-05-31,88.27549,86.6363100400001,0,2099.67462138233,185349.80604309,0,0
"SPY",2005-06-30,88.409203,87.7885202000001,0,2110.98566102602,186349.80604309,0,0
"SPY",2005-07-29,91.791855,89.65725092,0,2121.87987380775,187349.80604309,0,0
"SPY",2005-08-31,90.931374,90.61388328,0,2132.87717821448,188349.80604309,0,0
"SPY",2005-09-30,91.661148,91.20712752,0,2143.78692593006,189349.80604309,0,0
"SPY",2005-10-31,89.493271,90.0567637800001,1,0,0,192854.504328515,2504.69828542572
"SPY",2005-11-30,93.426727,90.6089452800002,0,2074.93626881005,193854.504328515,0,0
