"symbol","date","adjusted","sma_50","invested","shares","total_shares_value","profit"
"SPY",2006-08-31,98.662056,96.1305624200001,161000,2850.53954122029,281240.091846091,120240.091846091
"SPY",2006-09-29,101.32605,98.1531291800001,162000,2860.40867161667,289833.912080664,127833.912080664
"SPY",2006-10-31,104.5196,101.1971412,163000,2869.97625511297,299968.770193906,136968.770193906
"SPY",2006-11-30,106.597939,103.9489756,164000,2879.35729952509,306933.553773981,142933.553773981
"SPY",2006-12-29,108.023308,106.26974956,165000,2888.6145609302,312037.700408647,147037.700408647
"SPY",2007-01-31,109.648041,107.81760662,166000,2897.73465090973,317730.927810071,151730.927810071
"SPY",2007-02-28,107.496994,109.15017812,167000,2907.03723661739,312497.764382436,145497.764382436
"SPY",2007-03-30,108.742783,108.85019868,168000,2916.23324919323,317119.319394404,149119.319394404
"SPY",2007-04-30,113.559608,109.77862904,169000,2925.03919716727,332166.304614949,163166.304614949
"SPY",2007-05-31,117.41156,113.2966365,170000,2933.55624608477,344433.415200556,174433.415200556
"SPY",2007-06-29,115.694931,115.77404136,171000,2942.19966711762,340397.587475396,169397.587475396
"SPY",2007-07-31,112.072456,116.58379664,172000,2951.12246613257,330739.542736254,158739.542736254
"SPY",2007-08-31,113.510658,114.44128968,173000,2959.93221155753,335983.852969291,162983.852969291
"SPY",2007-09-28,117.905167,113.82495252,174000,2968.41360406512,349991.30171237,175991.30171237
"SPY",2007-10-31,119.504715,116.62168148,175000,2976.78147473868,355739.421755926,180739.421755926
"SPY",2007-11-30,114.87603,116.34407686,176000,2985.48651094162,342960.837995525,166960.837995525
"SPY",2007-12-31,113.582451,114.57485306,177000,2994.29068791787,340098.875340187,163098.875340187
"SPY",2008-01-31,106.715118,110.86913132,178000,3003.66143143333,320536.084087456,142536.084087456
"SPY",2008-02-29,103.957336,107.65129348,179000,3013.28076219417,313252.640657755,134252.640657755
"SPY",2008-03-31,103.02771,104.05458084,180000,3022.98688882748,311451.41651592,131451.41651592
"SPY",2008-04-30,107.938255,105.0609219,181000,3032.25144475346,327295.929667917,146295.929667917
"SPY",2008-05-30,109.569855,107.6554902,182000,3041.37804257546,333243.351125177,151243.351125177
"SPY",2008-06-30,100.412506,107.4690715,183000,3051.33696143762,306392.390948377,123392.390948377
"SPY",2008-07-31,99.510231,102.68615984,184000,3061.3861793919,304639.245891495,120639.245891495
"SPY",2008-08-29,101.048027,99.9455143600001,185000,3071.28246366077,310347.03331262,125347.03331262
"SPY",2008-09-30,91.53196,98.4456805400001,186000,3082.20760936943,282120.503612499,96120.5036124986
"SPY",2008-10-31,76.412132,87.5070705600001,187000,3095.29453645583,236518.054698542,49518.0546985416
"SPY",2008-11-28,71.093338,76.7198716400001,188000,3109.36055203664,221054.820689808,33054.8206898076
"SPY",2008-12-31,71.789795,70.3086638200001,189000,3123.29010845897,224220.356611797,35220.3566117973
"SPY",2009-01-30,65.894806,68.8318016400002,190000,3138.4658113816,206808.595778623,16808.5957786229
